ID,Staff
1539,118
1540,166
1565,3057
1593,331
1701,1450
1707,374
1711,1598
1712,1377
1713,70
1720,944
1731,282
1732,167
1733,640
1734,984
1752,478
1757,390
1760,241
1762,237
1777,121
1780,123
1781,501
1783,95
1784,241
1786,61
1788,169
1789,717
1795,317
1799,53
1813,127
3118,102
3164,123
3176,94
3184,180
3205,62
3218,352
3705,1152
4102,138
4103,3489
4104,726
4105,481
4106,380
4107,380
4108,71
4109,83
4111,280
4114,397
4116,134
4117,63
4119,182
4120,768
4121,1375
4123,136
4127,93
4128,546
4129,569
4130,159
4131,33
4132,157
4133,191
4134,125
4135,52
4137,524
4138,147
4139,323
4141,1245
4142,284
4144,305
4147,22
4150,328
4151,150
4152,116
4153,158
4154,118
4155,62
4156,8
4157,79
4159,38
4160,63
4161,137
4162,18
4163,499
4164,36
4166,160
4167,508
4168,32
4169,73
4170,50
4171,80
4172,34
4173,267
4174,40
4175,980
4177,44
4180,195
4181,105
4183,106
4184,383
4186,162
4187,48
4188,9
4191,100
4192,30
4194,34
4195,122
4197,76
4198,.
4725,222
4726,78
4728,71
4732,52
4733,272
4734,65
4735,70
4736,793
4737,618
4740,170
4743,31
4744,243
4745,210
4746,381
4747,131
4752,93
4911,30
6130,185
6445,15
6446,53
6453,21
6458,8
6461,0
6467,0
6471,0
6472,0
6507,264
8403,124
8406,2258
8409,135
8432,70
8436,353
